word,won,wrong_guesses,repeated_guesses,total_guesses
guaiol,False,6,0,10
utriculoplastic,True,2,0,12
agral,False,6,0,9
nictitation,True,2,0,8
proficiently,False,6,0,16
quaternity,False,6,0,12
unoppignorated,True,3,0,14
foreact,False,6,0,12
cholecystenterorrhaphy,True,0,0,12
rivery,False,6,0,9
pauropodous,False,6,0,9
kelpie,False,6,0,9
imbirussu,False,6,0,8
unfaint,False,6,0,11
oviculated,False,6,0,15
cyanosed,False,6,0,13
punitionally,True,2,0,11
tinamine,True,5,0,11
aristocraticalness,True,0,0,10
propodeum,False,6,0,11
delightingly,False,6,0,13
pectase,True,4,0,10
cheka,False,6,0,7
dermasurgery,False,6,0,9
librarian,False,6,0,11
begotten,False,6,0,10
outlay,False,6,0,10
distilled,True,2,0,8
pelisse,True,3,0,8
foredeserved,False,6,0,10
trifoliolate,False,6,0,13
easer,True,4,0,8
benumbedness,False,6,0,9
evidentiary,False,6,0,14
chromosome,False,6,0,9
bisulphate,False,6,0,15
unvoyaging,False,6,0,10
underpossessor,True,5,0,13
stichometric,True,3,0,12
uncapably,False,6,0,11
carposperm,True,4,0,12
guanidopropionic,False,6,0,13
dolichoglossus,False,6,0,13
vorticose,False,6,0,13
mart,True,2,0,6
embrocate,False,6,0,13
ichthyophobia,False,6,0,13
wakamba,False,6,0,8
cocash,False,6,0,7
rearrange,True,4,0,9
kaid,True,1,0,5
yn,False,6,0,6
electrophysiology,True,1,0,13
harshweed,False,6,0,12
sufferableness,False,6,0,13
becassocked,False,6,0,12
palaverment,True,4,0,13
reaward,False,6,0,9
slinkiness,False,6,0,11
schizoidism,False,6,0,10
overfold,False,6,0,11
evocatively,True,5,0,14
skeletin,False,6,0,12
electrotitration,True,1,0,10
chiefdom,False,6,0,8
federal,False,6,0,11
hippotigris,False,6,0,12
nonaxiomatic,False,6,0,13
cubitodigital,False,6,0,13
simia,True,5,0,9
perciformes,True,5,0,14
pretreat,True,2,0,7
pewmate,False,6,0,10
heiresshood,False,6,0,10
fermentatively,False,6,0,16
salivan,False,6,0,11
overstudied,False,6,0,13
pilori,True,5,0,10
chervil,False,6,0,10
cordeliere,True,4,0,11
herrenvolk,False,6,0,11
temperament,True,4,0,11
actinodromous,True,4,0,15
hypersuperlative,True,4,0,16
dowerless,False,6,0,12
vainly,False,6,0,11
canossa,False,6,0,9
deglaciation,False,6,0,15
quintupliribbed,False,6,0,14
galeproof,False,6,0,12
triethylamine,True,5,0,15
topectomy,False,6,0,9
misdeem,True,5,0,10
cerebropedal,False,6,0,14
dextran,False,6,0,12
substitutionally,True,3,0,13
hemometry,False,6,0,11
setness,True,5,0,9
teasel,True,2,0,7
uncramp,False,6,0,9
circumstantiable,True,1,0,13
polycormic,True,5,0,13
pyotoxinemia,False,6,0,14
unrebated,False,6,0,13
unbiasable,True,5,0,13
irani,True,5,0,9
amblyomma,False,6,0,9
spitted,True,5,0,11
oversusceptible,True,3,0,15
jobmonger,False,6,0,10
dipody,False,6,0,7
khvat,False,6,0,8
physiqued,False,6,0,10
hulu,False,6,0,7
meliorant,True,2,0,11
evincive,False,6,0,9
tumtum,False,6,0,8
clathrinidae,True,2,0,12
hugeously,False,6,0,11
sward,False,6,0,10
thallogenic,True,3,0,13
petrolic,True,2,0,10
versette,True,5,0,10
nonterritoriality,True,0,0,9
laceleaf,False,6,0,9
parode,False,6,0,9
cagn,True,4,0,8
sphyrnidae,True,5,0,15
merchandiser,True,4,0,14
insinuating,False,6,0,11
luxemburgian,False,6,0,12
volley,False,6,0,9
unpitiably,False,6,0,12
proseuche,False,6,0,10
ambassadress,False,6,0,10
latterness,True,0,0,7
phagocytolysis,False,6,0,16
struthiones,True,2,0,11
tolylenediamine,True,3,0,13
tuatara,True,5,0,9
speleology,False,6,0,10
presley,False,6,0,10
ramified,False,6,0,11
quadrumanal,False,6,0,10
coimplicant,True,5,0,14
pyralis,False,6,0,12
epruinose,False,6,0,12
manipular,True,5,0,13
fangled,False,6,0,12
deferrize,False,6,0,10
antemarital,True,0,0,8
profligation,False,6,0,14
sadhe,False,6,0,10
crumblet,False,6,0,13
camestres,True,3,0,10
mantra,True,1,0,6
conjoinedly,False,6,0,14
aclinal,True,5,0,10
amalgamate,False,6,0,11
nutritional,True,3,0,11
northeaster,True,2,0,10
sowlike,False,6,0,11
craniopharyngeal,True,2,0,14
unimpressibly,True,4,0,15
inaudible,False,6,0,13
reapproach,True,3,0,10
cabob,False,6,0,7
anaconda,False,6,0,10
inwick,False,6,0,8
subpubic,False,6,0,7
nebularization,False,6,0,16
pharmacopsychology,True,3,0,14
cyrtopia,False,6,0,12
lienculus,True,5,0,12
tuck,True,5,0,9
becuiba,False,6,0,8
rufflike,False,6,0,9
gratulation,True,4,0,13
disgustful,False,6,0,11
microcrystallogeny,True,0,0,13
bavian,False,6,0,8
petrification,True,4,0,14
antiseption,True,3,0,11
stakemaster,False,6,0,12
weatherhead,False,6,0,12
unglosed,True,4,0,12
draggy,False,6,0,8
ectoblast,False,6,0,13
ensue,False,6,0,9
yaguaza,False,6,0,7
obduracy,False,6,0,9
grow,False,6,0,8
lying,True,5,0,10
splintery,True,4,0,13
kitchenward,False,6,0,15
accentuator,True,5,0,13
gloomy,False,6,0,8
traveldom,False,6,0,14
redbird,False,6,0,10
hyporadiolus,True,5,0,16
underchancellor,True,3,0,13
ingaevonic,False,6,0,13
niccoliferous,False,6,0,15
warbled,False,6,0,12
ceroplast,False,6,0,14
heatlike,False,6,0,11
rosular,True,4,0,10
cochlear,True,4,0,11
theron,True,3,0,9
dramalogue,False,6,0,11
arciform,False,6,0,11
monopetalae,True,2,0,10
thermoperiodicity,True,3,0,14
mandrake,False,6,0,10
semology,False,6,0,11
lipoferous,False,6,0,14
atrichosis,True,2,0,10
anneslia,True,3,0,9
cobbra,False,6,0,10
osteogenesis,False,6,0,12
caulotaxy,False,6,0,11
genyophrynidae,False,6,0,15
login,False,6,0,10
zoeform,False,6,0,9
corollary,True,4,0,10
chlamydobacteriaceae,True,0,0,13
presurvey,False,6,0,9
aedilian,True,3,0,9
tubik,False,6,0,7
entosphere,True,4,0,12
hydrofluate,False,6,0,13
regather,False,6,0,10
discoplacenta,True,1,0,12
chivalrousness,True,5,0,17
gasless,False,6,0,10
spiraculum,True,5,0,14
undeliberative,False,6,0,16
stereobatic,False,6,0,14
gaviiformes,False,6,0,13
derived,False,6,0,10
flagellated,False,6,0,11
aspen,True,5,0,10
preinvent,False,6,0,11
sachamaker,False,6,0,12
spectroscopic,True,2,0,10
arctogaeal,False,6,0,13
respondency,False,6,0,13
gadroon,False,6,0,10
consort,True,3,0,9
plumelike,False,6,0,10
aniseikonia,False,6,0,12
paintedness,True,3,0,11
cochliodus,False,6,0,13
disintegration,True,2,0,12
calmierer,True,5,0,12
faunally,False,6,0,10
archeion,True,4,0,12
nance,False,6,0,9
expellee,False,6,0,8
treasonable,True,3,0,12
triboluminescence,True,2,0,14
crevice,False,6,0,9
unresistedly,True,2,0,12
superciliousness,True,2,0,12
prehumiliation,True,4,0,16
planktologist,True,5,0,15
camerina,True,5,0,12
clave,True,5,0,10
orca,True,5,0,9
actability,False,6,0,11
lubricational,True,4,0,14
synodus,False,6,0,10
coumarate,True,3,0,11
hoodshyness,False,6,0,10
prolongably,True,5,0,14
agrammatical,True,5,0,13
sulphopropionic,True,3,0,13
vender,False,6,0,10
unshuddering,False,6,0,13
desiccant,True,2,0,10
trolly,True,3,0,8
nonascetic,True,2,0,10
parallelotropism,True,1,0,11
mildly,False,6,0,7
recalibration,True,4,0,14
resistable,True,1,0,9
merychippus,True,5,0,15
substrate,True,4,0,11
bassoon,False,6,0,10
teated,True,2,0,6
untentaculate,True,2,0,9
amphichrom,True,5,0,13
ionidium,False,6,0,9
gelose,False,6,0,10
azotous,False,6,0,11
resuppression,True,2,0,10
episcopalism,True,4,0,13
tarea,True,2,0,6
instructively,True,2,0,13
graduator,False,6,0,10
stanley,True,3,0,10
myringomycosis,True,5,0,14
cloudlessness,False,6,0,13
unfallible,False,6,0,12
shackling,True,5,0,14
battik,False,6,0,10
bushy,False,6,0,9
confinable,False,6,0,14
codhead,False,6,0,8
trochoidally,True,3,0,13
pennaceous,False,6,0,11
confervaceous,False,6,0,14
strychnic,True,5,0,13
tangentiality,False,6,0,12
phenomenology,False,6,0,12
torchless,True,4,0,12
recook,False,6,0,9
leaderless,True,2,0,8
circumumbilical,False,6,0,11
mugwumpism,False,6,0,7
nonswearing,False,6,0,14
sky,False,6,0,6
deliberateness,False,6,0,15
mitigatory,False,6,0,12
barehanded,False,6,0,11
centralist,True,3,0,12
oxyether,False,6,0,11
interseminal,True,1,0,10
premisal,True,4,0,12
paramese,False,6,0,10
ossetish,True,3,0,9
parentheses,True,2,0,10
unembarrassment,False,6,0,14
confirmingly,False,6,0,15
treasurable,True,5,0,13
purposivistic,False,6,0,13
furnacite,True,5,0,14
nailprint,False,6,0,12
aspidobranchia,False,6,0,16
swirl,False,6,0,10
recruitment,False,6,0,13
nemertini,True,4,0,10
piper,True,5,0,9
dissatisfy,False,6,0,11
evangelization,False,6,0,13
poluphloisboiotatotic,True,0,0,11
podomancy,False,6,0,11
thishow,False,6,0,11
ovarin,False,6,0,10
ismal,False,6,0,10
intraduodenal,True,5,0,15
vassalry,False,6,0,9
unfluted,False,6,0,12
conclusional,True,3,0,11
acronymic,False,6,0,13
electroosmotic,True,1,0,10
morrowtide,False,6,0,11
glucosidically,False,6,0,15
concatenation,True,0,0,7
fucate,False,6,0,11
abigail,False,6,0,9
encinillo,True,5,0,11
ungloriously,True,4,0,13
drupelet,False,6,0,12
unsensory,True,5,0,12
aphelenchus,True,4,0,13
eucosmidae,True,4,0,13
tragicose,False,6,0,14
interdepend,True,5,0,12
pronpl,False,6,0,9
immunogenic,False,6,0,13
unfledgedness,False,6,0,11
amaga,False,6,0,8
archelenis,True,1,0,10
brustle,True,5,0,12
bibliographize,False,6,0,16
ectocuniform,False,6,0,15
scutulated,True,4,0,12
choledoch,False,6,0,9
pessimum,False,6,0,8
winegrower,False,6,0,11
annelida,True,5,0,11
whatness,False,6,0,11
sulphurization,True,3,0,15
monistical,True,3,0,12
anaspidacea,False,6,0,13
approximatively,False,6,0,17
scopidae,True,5,0,13
spondylocladium,True,3,0,15
turningness,True,2,0,10
wisecrack,False,6,0,12
mincer,False,6,0,10
tryphosa,True,5,0,13
unbowing,False,6,0,10
heaving,False,6,0,10
puffery,False,6,0,8
lenitiveness,True,4,0,11
shutter,True,3,0,9
cyanate,False,6,0,11
phascogale,False,6,0,14
dishwiping,False,6,0,10
thicketful,False,6,0,13
nitrosification,True,2,0,11
whatreck,False,6,0,10
politicalism,True,3,0,12
pulsimeter,False,6,0,13
antheia,True,2,0,8
corin,True,3,0,8
armchaired,True,5,0,13
unsupplicated,True,2,0,13
bleakly,False,6,0,9
derah,False,6,0,10
titubancy,False,6,0,11
mejorana,False,6,0,11
halibuter,False,6,0,12
nereid,True,3,0,8
malacophonous,True,4,0,14
juniority,False,6,0,13
preobligate,False,6,0,14
fusilier,False,6,0,12
frecklish,False,6,0,13
haloa,False,6,0,8
stupe,False,6,0,10
tanghan,True,5,0,10
unsuggestive,False,6,0,12
nitrolime,True,4,0,12
dactylioglyphtic,False,6,0,15
ripieno,False,6,0,10
oversour,True,4,0,10
wrasse,False,6,0,10
pseudoparenchymatous,True,0,0,14
verderership,False,6,0,10
noninstrumental,True,0,0,11
thlingchadinne,True,3,0,13
proximal,False,6,0,11
unplacid,True,5,0,13
belgravian,False,6,0,12
timefulness,True,5,0,14
microscopic,True,5,0,12
fishyard,False,6,0,10
shockingly,False,6,0,15
metier,True,3,0,8
enbrave,False,6,0,10
forejudge,False,6,0,9
epithalamion,True,4,0,14
unapplied,False,6,0,13
opsiometer,True,4,0,12
posthetomy,True,5,0,13
ropedancing,True,4,0,14
ticker,False,6,0,10
cloghad,False,6,0,9
january,False,6,0,9
wineglassful,False,6,0,13
carbuncle,False,6,0,13
tiphia,False,6,0,9
negativer,False,6,0,12
circumcorneal,True,3,0,13
lifelessly,False,6,0,10
stunpoll,False,6,0,12
neurone,False,6,0,10
intrapsychic,True,4,0,14
lethocerus,False,6,0,14
elementarily,True,3,0,12
ecardinal,True,3,0,11
denazify,False,6,0,10
unconceited,True,3,0,11
myoplastic,False,6,0,15
impingent,False,6,0,10
underbutler,False,6,0,10
unforwarded,False,6,0,12
yamanai,False,6,0,10
coglorify,False,6,0,11
deparliament,True,2,0,12
nassau,False,6,0,9
spatterdock,False,6,0,14
lactucin,True,4,0,11
middorsal,True,4,0,12
hoverly,False,6,0,10
superstitionless,True,2,0,12
parathion,True,3,0,11
pasturer,True,5,0,12
ureterocele,True,3,0,10
overslavish,False,6,0,13
sonlikeness,False,6,0,12
affinitatively,False,6,0,12
prioracy,False,6,0,11
thistled,True,4,0,11
untransacted,True,3,0,12
foddering,False,6,0,13
orderable,True,3,0,10
parorexia,False,6,0,11
centrifugalize,False,6,0,14
marguerite,False,6,0,12
mainpernable,True,2,0,11
propliopithecus,True,2,0,13
postdiagnostic,False,6,0,15
jarvey,False,6,0,9
maytide,False,6,0,10
oystershell,False,6,0,12
raptatory,False,6,0,10
pollinar,True,3,0,10
impeccant,True,5,0,13
unpermitting,False,6,0,12
tinworker,False,6,0,12
horseman,True,5,0,13
loaf,False,6,0,9
phylogerontism,True,2,0,15
screw,False,6,0,9
flong,False,6,0,7
bloodleaf,False,6,0,10
nonstatistical,True,0,0,8
glossotherium,True,5,0,16
theologicopolitical,True,1,0,11
cherishing,True,5,0,13
polinices,True,3,0,11
wondrousness,False,6,0,13
juxtatropical,False,6,0,15
fascioliasis,False,6,0,12
flabelliform,False,6,0,13
apotropaic,True,5,0,12
melanilin,True,4,0,10
monogenist,False,6,0,13
uncrystaled,True,2,0,13
scybalum,False,6,0,8
cathartolinum,True,5,0,16
jynginae,False,6,0,10
knit,False,6,0,7
watchmanship,False,6,0,15
howadji,False,6,0,8
reproachingly,True,3,0,15
bemole,False,6,0,8
matral,True,2,0,7
pretense,True,4,0,10
telemechanic,True,3,0,12
equiexcellency,False,6,0,11
acidness,True,5,0,12
contusive,True,4,0,13
gaumish,False,6,0,10
kraft,False,6,0,9
volumometrical,False,6,0,16
interdrink,False,6,0,12
wealthiness,False,6,0,14
acicularly,True,4,0,11
platypodia,False,6,0,12
pothook,False,6,0,7
diamondwise,False,6,0,14
misassert,True,4,0,11
recrystallization,True,0,0,12
rabelaisianism,True,5,0,14
sedition,True,3,0,10
pelomedusidae,True,4,0,14
paraparesis,True,4,0,10
sanctifier,False,6,0,14
jennifer,False,6,0,10
shotless,True,4,0,10
tracheobronchitis,True,2,0,13
maspiter,True,4,0,12
perorator,True,2,0,8
octandria,True,3,0,11
clipei,False,6,0,9
gemmiferous,False,6,0,11
photoreception,True,2,0,11
disparagement,True,4,0,15
upvomit,False,6,0,8
uninterrogated,True,5,0,15
fullmouth,False,6,0,9
evangeliarium,False,6,0,13
pattener,True,5,0,11
pomposity,False,6,0,11
unserrated,True,5,0,13
afternoons,False,6,0,13
usnic,True,3,0,8
ergotamine,False,6,0,14
roughshod,False,6,0,8
separatical,True,1,0,10
nongremial,True,5,0,14
cornic,True,2,0,7
uranophotography,True,2,0,12
condisciple,True,3,0,12
cabassou,False,6,0,10
cervix,False,6,0,9
locomobility,False,6,0,12
sexagesimals,False,6,0,12
submedian,True,4,0,13
processionalist,True,0,0,11
fichteanism,False,6,0,15
spikeweed,False,6,0,10
exoenzyme,False,6,0,8
typeset,False,6,0,9
necessity,True,5,0,12
disclimax,False,6,0,13
whyness,False,6,0,9
sexivalence,False,6,0,13
squinting,False,6,0,11
snowlike,False,6,0,12
deiparous,True,5,0,14
lobcock,False,6,0,7
supervisorial,True,5,0,15
cerebrocardiac,False,6,0,13
calicut,True,4,0,10
sphericist,True,3,0,11
substitute,True,5,0,11
corporator,True,5,0,11
undernatural,True,3,0,11
anywhen,False,6,0,9
shivaism,False,6,0,8
triterpene,False,6,0,11
untravestied,False,6,0,15
spinigrade,True,4,0,13
cuke,True,5,0,9
snerp,False,6,0,9
resisting,True,0,0,7
eurite,True,4,0,9
predeterminative,True,4,0,14
mulctative,False,6,0,12
colander,True,2,0,10
asexualize,False,6,0,11
autoallogamy,False,6,0,9
olcha,False,6,0,9
pneumographic,True,3,0,15
loathsomely,True,4,0,13
patinate,True,5,0,11
glaucium,False,6,0,9
twatchel,False,6,0,12
apopetalous,True,5,0,13
centrode,True,3,0,10
burfish,False,6,0,10
moonfish,False,6,0,11
begarnish,False,6,0,13
bulimulidae,False,6,0,10
erinose,True,4,0,10
apollonia,True,4,0,10
anhungry,False,6,0,11
harridan,False,6,0,10
pecky,False,6,0,7
pointillism,True,4,0,12
pampootee,False,6,0,9
conferruminate,False,6,0,15
flightily,False,6,0,8
plantaginaceous,True,3,0,15
meridionality,True,4,0,15
bardesanist,False,6,0,14
bustee,True,2,0,7
antephialtic,True,5,0,14
calochortaceae,True,2,0,10
nootka,False,6,0,9
unquit,False,6,0,10
unify,False,6,0,8
stob,True,5,0,9
lexigraphical,False,6,0,14
doublelunged,False,6,0,10
ultragrave,False,6,0,11
procerebral,False,6,0,13
feuar,False,6,0,9
superinsist,True,2,0,10
saccharocolloid,True,3,0,12
unbowsome,False,6,0,11
clogdogdo,False,6,0,8
tenuity,False,6,0,10
dykereeve,False,6,0,9
pupuluca,False,6,0,8
footmaker,False,6,0,11
disjunctively,False,6,0,17
istrian,True,3,0,9
bewilderedly,False,6,0,11
tringle,True,2,0,9
currishly,True,5,0,13
gyroplane,False,6,0,13
oxane,False,6,0,10
astrocaryum,True,4,0,13
preindebtedness,False,6,0,14
backchat,False,6,0,7
eva,True,2,0,5
pollucite,False,6,0,13
frostiness,False,6,0,13
overminutely,False,6,0,14
remonstratively,True,1,0,13
formonitrile,True,5,0,14
requiter,False,6,0,10
cuculliform,False,6,0,11
unsubstantiation,True,1,0,9
brookless,False,6,0,11
vlei,True,4,0,8
oncetta,False,6,0,11
illustratory,True,3,0,12
labyrinthodon,False,6,0,14
labyrinth,False,6,0,12
cannibality,False,6,0,12
unstick,False,6,0,12
groose,False,6,0,10
electroshock,True,5,0,14
wanty,False,6,0,10
oscillograph,True,4,0,14
platinocyanic,False,6,0,14
retool,True,4,0,9
retransformation,True,5,0,15
notiosorex,False,6,0,13
quaw,False,6,0,7
bichromate,True,5,0,15
corps,False,6,0,9
clutchman,False,6,0,13
denunciable,True,5,0,14
macadamization,True,3,0,12
sender,True,3,0,8
coadjutator,False,6,0,11
hystricine,True,4,0,13
paulinia,False,6,0,10
urao,True,5,0,9
parmese,True,4,0,10
basidia,False,6,0,9
hairmonger,False,6,0,14
cathodography,False,6,0,13
quantify,False,6,0,10
ugroid,False,6,0,10
echinoderma,True,3,0,13
lingually,False,6,0,12
byerlite,False,6,0,11
sturdy,False,6,0,10
plaitless,True,3,0,10
runover,False,6,0,11
aquilege,False,6,0,10
battak,False,6,0,8
lamantin,True,2,0,8
seedcase,False,6,0,7
enflagellation,False,6,0,14
ipseity,False,6,0,10
viperina,False,6,0,10
gastropodous,False,6,0,12
serpulid,True,5,0,13
arrantly,True,3,0,9
benzophenone,False,6,0,9
pennatipartite,True,4,0,11
strafer,False,6,0,11
disestimation,True,3,0,12
bedlar,True,5,0,11
minisher,True,3,0,10
semisociative,True,4,0,13
battalion,False,6,0,12
floatable,False,6,0,12
columbanian,False,6,0,14
cathodofluorescence,True,2,0,15
unfastidiously,False,6,0,16
hornily,False,6,0,10
proteaceous,True,3,0,12
granddaughterly,True,5,0,16
acatamathesia,True,4,0,12
nonsensitized,False,6,0,13
pacificator,False,6,0,12
daincha,False,6,0,11
mask,False,6,0,7
interlingua,True,4,0,13
consultation,True,1,0,10
unhealthful,False,6,0,12
hairpin,False,6,0,11
biternate,False,6,0,12
upspew,False,6,0,7
subvariety,False,6,0,12
istoke,False,6,0,11
trismic,True,5,0,11
masty,True,5,0,10
peshkash,False,6,0,8
foredispose,False,6,0,13
trophoderm,True,4,0,12
globosely,False,6,0,10
periorbit,False,6,0,11
tore,True,3,0,7
adenia,True,5,0,10
rendrock,False,6,0,11
garniec,False,6,0,12
disproportionally,True,1,0,12
acrodontism,True,4,0,14
nonsparing,True,5,0,13
linet,True,3,0,8
niggardling,False,6,0,12
allopathist,True,5,0,13
neuropsychological,True,1,0,15
beruffed,False,6,0,8
paola,False,6,0,8
forehalf,False,6,0,11
addax,False,6,0,8
formicate,True,5,0,14
actinomycotic,True,5,0,13
hadbot,False,6,0,9
proso,True,4,0,8
ciliotomy,False,6,0,11
precation,True,0,0,9
compendium,True,5,0,14
incudal,False,6,0,11
antiscale,True,1,0,9
ordovices,False,6,0,13
amiability,False,6,0,10
tintinnabulate,True,1,0,9
italican,True,1,0,7
presumptuousness,True,2,0,11
advocatory,False,6,0,11
sculptress,False,6,0,13
underkeeper,False,6,0,10
unmountainous,False,6,0,13
termage,True,4,0,10
continuativeness,False,6,0,15
tuboabdominal,False,6,0,13
reliable,True,3,0,9
bathmotropism,False,6,0,15
laccolith,True,5,0,12
bradyphasia,False,6,0,9
unpredestinated,True,3,0,13
pediculous,True,4,0,13
oxytoluic,False,6,0,12
tipsy,False,6,0,8
unwetted,False,6,0,10
dreariness,True,5,0,12
gadolinium,False,6,0,12
isandrous,True,4,0,12
sniptious,False,6,0,12
desultorily,True,4,0,14
fains,False,6,0,10
inquisitorialness,True,3,0,14
pirrmaw,False,6,0,10
asteriated,True,1,0,8
forsakenly,False,6,0,13
lipa,True,3,0,7
mortalness,True,3,0,12
cometarium,True,3,0,12
primrosy,False,6,0,11
pretexted,False,6,0,10
unwitch,False,6,0,10
issuance,False,6,0,12
rondeau,False,6,0,12
stirring,True,3,0,9
nonclimbable,True,4,0,13
bondholder,False,6,0,13
harmlessly,False,6,0,12
lawn,True,4,0,8
zoomantic,False,6,0,13
native,False,6,0,11
disilicane,True,2,0,10
splenatrophy,True,2,0,13
cakewalker,False,6,0,11
myrobalan,False,6,0,11
frederic,False,6,0,9
sexangled,False,6,0,13
opuntiaceae,True,3,0,12
megasclere,False,6,0,13
gasogenic,False,6,0,12
corrosively,True,4,0,13
postconvalescent,False,6,0,15
unidentifiedly,True,5,0,14
imitable,False,6,0,12
wheer,False,6,0,9
orakzai,False,6,0,10
kemb,False,6,0,7
banewort,False,6,0,12
velo,False,6,0,8
archae,False,6,0,9
anguinidae,False,6,0,11
levance,False,6,0,10
novemberish,False,6,0,12
overharsh,False,6,0,11
subgular,False,6,0,11
unreputable,False,6,0,14
universeful,False,6,0,13
jacobitic,False,6,0,10
macrolepidoptera,True,1,0,12
mailbox,False,6,0,11
hurryproof,False,6,0,10
unclerkly,False,6,0,11
vasoreflex,False,6,0,12
melica,True,4,0,10
multipersonal,True,1,0,13
carpetweed,False,6,0,12
sleechy,False,6,0,9
homophony,False,6,0,8
crystallization,True,4,0,15
suggestibly,False,6,0,11
tolstoyist,False,6,0,11
preheat,True,5,0,11
oratory,True,3,0,8
tubuliferous,False,6,0,14
ferocity,False,6,0,11
oenanthylate,True,3,0,11
squeaky,False,6,0,9
tyleberry,False,6,0,10
squark,False,6,0,8
indeficient,False,6,0,12
arboretum,False,6,0,11
pyronine,True,5,0,12
succedaneous,True,5,0,13
creepmousy,False,6,0,13
testatum,False,6,0,10
articulant,True,2,0,10
sternotribe,False,6,0,13
linoxin,False,6,0,9
enophthalmus,True,3,0,14
seronegative,True,5,0,15
firebrat,False,6,0,11
theroid,True,4,0,11
barraclade,False,6,0,11
reticello,True,4,0,11
doegling,False,6,0,12
euthyneura,True,3,0,11
philozoonist,False,6,0,14
intermolecular,True,1,0,12
philobiblical,True,4,0,12
disroof,False,6,0,11
fast,False,6,0,9
tutoyer,False,6,0,11
recatalogue,False,6,0,14
thiazoline,False,6,0,14
pentrough,False,6,0,11
uncanonically,True,2,0,10
nonpsychological,True,3,0,14
serpentiningly,True,4,0,14
mallemuck,False,6,0,9
progressor,False,6,0,11
determinator,True,2,0,11
sadducize,False,6,0,12
preponderation,True,1,0,10
overjob,False,6,0,9
agelacrinitidae,True,5,0,15
gaelicist,False,6,0,13
enaliosaur,True,2,0,11
pandurated,True,2,0,10
breme,False,6,0,8
trochanter,True,2,0,10
unyouthful,False,6,0,11
telekinesis,False,6,0,12
rheumaticky,True,5,0,16
inexpressively,False,6,0,13
danielle,False,6,0,11
sokoki,False,6,0,8
louvered,False,6,0,12
gup,True,2,0,5
overtumble,False,6,0,11
despotic,True,4,0,12
elodea,True,5,0,10
explosion,False,6,0,12
sporangidium,True,4,0,15
ungoatlike,False,6,0,15
pennate,True,4,0,9
nonreciprocal,True,2,0,11
lymphomyxoma,False,6,0,9
treatee,True,1,0,5
superobjection,False,6,0,16
marsoon,False,6,0,11
sponged,False,6,0,11
electroculture,True,4,0,11
unperfectly,False,6,0,15
cardiomelanosis,True,1,0,12
zooplastic,False,6,0,14
machairodontinae,True,4,0,15
unadvantageous,False,6,0,13
edentate,True,4,0,9
syllepsis,False,6,0,8
komati,False,6,0,11
deaminase,True,3,0,10
orgiast,False,6,0,12
rustless,True,3,0,9
soliterraneous,True,0,0,10
eburna,False,6,0,11
asperges,False,6,0,10
subjectlike,False,6,0,12
vanadiate,False,6,0,12
devadasi,False,6,0,10
combinableness,True,2,0,12
semiarid,True,4,0,11
immanacle,True,3,0,10
dermaskeleton,False,6,0,16
formful,False,6,0,9
microdentous,True,4,0,15
exallotriote,False,6,0,13
anamnestic,False,6,0,13
anopluriform,False,6,0,15
unpricked,False,6,0,13
